rank,content_id,client_id,position_tier,impressions_90d,ctr,pred_prob,ctr_gap_score,archetype,reason_low_ctr_vs_tier,reason_high_stakes,reason_model_flagged,high_confidence
1,content_ae60399f8455,client_19581e27de,striking,529,0.0,0.8800683793553814,0.17,dual_underperformer,True,False,True,True
2,content_c6e59d4bfbfb,client_19581e27de,striking,518,0.0,0.8796069625230478,0.17,dual_underperformer,True,False,True,True
3,content_02866c352877,client_19581e27de,striking,524,0.0,0.8786969008250025,0.17,dual_underperformer,True,False,True,True
4,content_1c9181753d4b,client_19581e27de,striking,525,0.0,0.8762693546951164,0.17,dual_underperformer,True,False,True,True
5,content_d48a0d388685,client_19581e27de,page_1,902,0.0,0.8724607119975021,0.24,dual_underperformer,True,False,True,True
6,content_89075a9f4b1e,client_19581e27de,striking,551,0.0,0.8717647922246854,0.17,dual_underperformer,True,False,True,True
7,content_08dc2f4d70d3,client_19581e27de,striking,564,0.0,0.8695454877042719,0.17,dual_underperformer,True,False,True,True
8,content_829eba7c571f,client_19581e27de,striking,500,0.0,0.8689003436902349,0.17,dual_underperformer,True,False,True,True
9,content_822f03538863,client_19581e27de,striking,522,0.0,0.8678819877139435,0.17,dual_underperformer,True,False,True,True
10,content_420535f56d33,client_19581e27de,striking,1249,0.0,0.8661962128943342,0.17,dual_underperformer,True,False,True,True
11,content_afcb992df4da,client_19581e27de,striking,584,0.0,0.8659058344721855,0.17,dual_underperformer,True,False,True,True
12,content_e3d3d4aefba2,client_19581e27de,striking,576,0.0,0.8650082816501837,0.17,dual_underperformer,True,False,True,True
13,content_7ec8e8518ecf,client_e629fa6598,striking,530,0.0,0.8642083787220363,0.17,dual_underperformer,True,False,True,True
14,content_e15529f66714,client_19581e27de,striking,724,0.0,0.8619385976445627,0.17,dual_underperformer,True,False,True,True
15,content_65c03925e49f,client_19581e27de,top_3,1041,0.0,0.8610449654557959,0.2,dual_underperformer,True,False,True,True
16,content_81e77bd6e4df,client_19581e27de,striking,696,0.0,0.8604971461040729,0.17,dual_underperformer,True,False,True,True
17,content_525217c3494a,client_19581e27de,striking,563,0.0,0.8602259459888927,0.17,dual_underperformer,True,False,True,True
18,content_c90c44007ee4,client_19581e27de,striking,821,0.0,0.8594068592661116,0.17,dual_underperformer,True,False,True,True
19,content_4d9e3526cff0,client_19581e27de,striking,812,0.0,0.8593431289942857,0.17,dual_underperformer,True,False,True,True
20,content_e252a880a7bd,client_19581e27de,striking,675,0.0,0.8580060219673936,0.17,dual_underperformer,True,False,True,True
21,content_ef77c521b538,client_19581e27de,striking,716,0.0,0.8577145683480624,0.17,ctr_only_underperformer,True,False,True,True
22,content_a3c8d0cf0ef3,client_19581e27de,striking,518,0.0,0.8576258658890258,0.17,dual_underperformer,True,False,True,True
23,content_3e1c23384276,client_19581e27de,striking,802,0.0,0.8575636114469101,0.17,dual_underperformer,True,False,True,True
24,content_4935dc08ba58,client_19581e27de,striking,742,0.0,0.857464744168322,0.17,dual_underperformer,True,False,True,True
25,content_334974488222,client_19581e27de,striking,1030,0.0,0.8570796701084958,0.17,dual_underperformer,True,False,True,True
26,content_d2ec4dad128f,client_19581e27de,striking,707,0.0,0.8565009391718994,0.17,dual_underperformer,True,False,True,True
27,content_3f994be4d5c6,client_19581e27de,striking,742,0.0,0.8564743417268132,0.17,dual_underperformer,True,False,True,True
28,content_e1d3807f08ce,client_19581e27de,striking,584,0.0,0.8562899674303664,0.17,dual_underperformer,True,False,True,True
29,content_2e479245c92c,client_19581e27de,striking,738,0.0,0.8553885189492325,0.17,dual_underperformer,True,False,True,True
30,content_dc7ae960fe30,client_19581e27de,striking,917,0.0,0.8553738396258271,0.17,dual_underperformer,True,False,True,True
31,content_93142b06290c,client_19581e27de,striking,708,0.0,0.8551070996959376,0.17,dual_underperformer,True,False,True,True
32,content_5e9efae7368d,client_19581e27de,striking,549,0.0,0.8550356223801941,0.17,dual_underperformer,True,False,True,True
33,content_2ed8e705dcf6,client_19581e27de,striking,602,0.0,0.8546819715318105,0.17,dual_underperformer,True,False,True,True
34,content_9d5af08962dc,client_19581e27de,page_1,627,0.0,0.8545827798761553,0.24,dual_underperformer,True,False,True,True
35,content_15aefc83749a,client_4e07408562,striking,1078,0.0,0.8542971647910209,0.17,dual_underperformer,True,False,True,True
36,content_d9defc3d7bd4,client_19581e27de,striking,542,0.37,0.8540613511233995,0.0,engagement_only_underperformer,False,False,True,True
