rank,content_id,client_id,position_tier,avg_position,impressions_90d,ctr,expected_ctr_for_tier,ctr_gap_score,reason_low_ctr_vs_tier,reason_high_stakes,reason_also_low_engagement
1,content_c8e9d6ab9013,client_19581e27de,page_1,9.7,208678,0.0,0.24,0.24,True,True,True
2,content_f986bd514b6e,client_7f2253d7e2,page_1,6.6,22456,0.0,0.24,0.24,True,True,False
3,content_825a9788af8d,client_4e07408562,page_1,5.6,16786,0.0,0.24,0.24,True,True,True
4,content_8ba781dafa55,client_8527a891e2,page_1,9.0,16156,0.0,0.24,0.24,True,True,True
5,content_5d5653c4eb4f,client_4e07408562,page_1,5.7,15101,0.0,0.24,0.24,True,True,True
6,content_847a841969a2,client_19581e27de,page_1,7.4,14519,0.0,0.24,0.24,True,True,True
7,content_c82bc0c24241,client_f369cb89fc,page_1,4.3,13676,0.0,0.24,0.24,True,True,True
8,content_9983d31c53cb,client_4e07408562,page_1,5.5,7737,0.0,0.24,0.24,True,False,False
9,content_d3aaf7d5f2fc,client_19581e27de,page_1,8.3,7732,0.0,0.24,0.24,True,False,False
10,content_5195668f06db,client_19581e27de,page_1,5.2,6635,0.0,0.24,0.24,True,False,False
11,content_7caef6b6a306,client_d029fa3a95,page_1,5.9,6594,0.0,0.24,0.24,True,False,True
12,content_388d765d2f94,client_624b60c58c,page_1,9.4,6527,0.0,0.24,0.24,True,False,False
13,content_9648b7053d6f,client_19581e27de,page_1,9.3,6524,0.0,0.24,0.24,True,False,True
14,content_b2315c41a9c2,client_4ec9599fc2,page_1,8.1,6402,0.0,0.24,0.24,True,False,True
15,content_9ee24f9f28c3,client_19581e27de,page_1,8.3,5742,0.0,0.24,0.24,True,False,False
16,content_2ea7554a4b89,client_4e07408562,page_1,6.0,5156,0.0,0.24,0.24,True,False,True
17,content_477f7892c1f1,client_f74efabef1,page_1,8.4,5147,0.0,0.24,0.24,True,False,True
18,content_7722f40b12c1,client_19581e27de,page_1,8.3,5098,0.0,0.24,0.24,True,False,False
19,content_e922a83d1719,client_19581e27de,page_1,8.3,5010,0.0,0.24,0.24,True,False,False
20,content_8a1fbaf0f871,client_4e07408562,page_1,8.6,4963,0.0,0.24,0.24,True,False,True
21,content_d6e1bbb4a996,client_d029fa3a95,page_1,3.9,4955,0.0,0.24,0.24,True,False,True
22,content_92ca79f8b232,client_19581e27de,page_1,7.5,4667,0.0,0.24,0.24,True,False,False
23,content_823ea9b9b355,client_f369cb89fc,page_1,3.9,4369,0.0,0.24,0.24,True,False,True
24,content_a9b7e7614ef0,client_19581e27de,page_1,9.9,4212,0.0,0.24,0.24,True,False,False
25,content_9b024398b4e4,client_19581e27de,page_1,8.1,4197,0.0,0.24,0.24,True,False,False
26,content_09b0e4b05a30,client_f369cb89fc,page_1,7.8,4147,0.0,0.24,0.24,True,False,True
27,content_70641aa29f3e,client_9400f1b21c,page_1,9.7,4046,0.0,0.24,0.24,True,False,False
28,content_a939feaaafb0,client_6208ef0f77,page_1,7.5,4025,0.0,0.24,0.24,True,False,False
29,content_90d5f9ecb7a9,client_4e07408562,page_1,9.4,3978,0.0,0.24,0.24,True,False,True
30,content_1a0b27cdb6a1,client_f74efabef1,page_1,9.9,3969,0.0,0.24,0.24,True,False,False
31,content_66105d9c5127,client_19581e27de,page_1,7.5,3898,0.0,0.24,0.24,True,False,True
32,content_f3025526cd2d,client_19581e27de,page_1,8.5,3881,0.0,0.24,0.24,True,False,True
33,content_ce8619672faf,client_19581e27de,page_1,3.5,3855,0.0,0.24,0.24,True,False,False
34,content_38b3f0575991,client_f74efabef1,page_1,8.9,3754,0.0,0.24,0.24,True,False,False
35,content_e2b8e97ea579,client_f369cb89fc,page_1,8.0,3633,0.0,0.24,0.24,True,False,False
36,content_747870c01e28,client_19581e27de,page_1,3.2,3585,0.0,0.24,0.24,True,False,True
37,content_0ad759bc5d3d,client_19581e27de,page_1,4.3,3409,0.0,0.24,0.24,True,False,False
38,content_6c7f71ab52fe,client_6208ef0f77,page_1,4.6,3267,0.0,0.24,0.24,True,False,True
39,content_1b51115391a3,client_3fdba35f04,page_1,9.5,3221,0.0,0.24,0.24,True,False,False
40,content_78cb6709ef3e,client_19581e27de,page_1,7.8,3204,0.0,0.24,0.24,True,False,False
41,content_cab2a611a390,client_19581e27de,page_1,3.4,3160,0.0,0.24,0.24,True,False,False
42,content_cd5b1dd872c6,client_f369cb89fc,page_1,7.5,3154,0.0,0.24,0.24,True,False,False
43,content_959d4811788b,client_3fdba35f04,page_1,7.8,3081,0.0,0.24,0.24,True,False,False
44,content_ca3805a9d6d2,client_19581e27de,page_1,9.9,2897,0.0,0.24,0.24,True,False,True
45,content_30aac2f74fd3,client_19581e27de,page_1,7.6,2885,0.0,0.24,0.24,True,False,True
46,content_7c8916bd0e47,client_4e07408562,page_1,9.3,2864,0.0,0.24,0.24,True,False,False
47,content_6880eb215048,client_19581e27de,page_1,6.8,2845,0.0,0.24,0.24,True,False,True
48,content_f2508318df4b,client_f369cb89fc,page_1,3.1,2831,0.0,0.24,0.24,True,False,False
49,content_7ef4a0408b07,client_19581e27de,page_1,6.9,2825,0.0,0.24,0.24,True,False,True
50,content_db3af57fb22d,client_3fdba35f04,page_1,7.8,2755,0.0,0.24,0.24,True,False,True
51,content_f364ebec9142,client_19581e27de,page_1,9.0,2755,0.0,0.24,0.24,True,False,False
52,content_b1d593faf9c6,client_3fdba35f04,page_1,8.3,2655,0.0,0.24,0.24,True,False,False
53,content_856d5eb90281,client_19581e27de,page_1,3.6,2591,0.0,0.24,0.24,True,False,True
54,content_dce9528e18b1,client_4e07408562,page_1,3.1,2519,0.0,0.24,0.24,True,False,True
55,content_ac9a747fae8c,client_19581e27de,page_1,9.4,2491,0.0,0.24,0.24,True,False,True
56,content_5da85a5135da,client_19581e27de,page_1,8.7,2485,0.0,0.24,0.24,True,False,True
57,content_7be1f9930cea,client_6208ef0f77,page_1,6.1,2470,0.0,0.24,0.24,True,False,False
58,content_87c007fb5c26,client_f369cb89fc,page_1,6.6,2463,0.0,0.24,0.24,True,False,False
59,content_26cf570cafdc,client_f369cb89fc,page_1,9.1,2450,0.0,0.24,0.24,True,False,True
60,content_f39a7d9ceafb,client_6208ef0f77,page_1,7.9,2417,0.0,0.24,0.24,True,False,True
61,content_a259ba53812e,client_6208ef0f77,page_1,7.5,2414,0.0,0.24,0.24,True,False,False
62,content_33cf57389088,client_19581e27de,page_1,8.9,2405,0.0,0.24,0.24,True,False,True
63,content_e8fc703f7ef0,client_3fdba35f04,page_1,9.5,2398,0.0,0.24,0.24,True,False,False
64,content_b2bf50ecada6,client_4e07408562,page_1,6.4,2386,0.0,0.24,0.24,True,False,False
65,content_b5d6346b5ad5,client_6208ef0f77,page_1,6.1,2367,0.0,0.24,0.24,True,False,True
66,content_10e0fbf10035,client_6208ef0f77,page_1,4.9,2360,0.0,0.24,0.24,True,False,True
67,content_f5fb70704716,client_19581e27de,page_1,7.7,2316,0.0,0.24,0.24,True,False,True
68,content_f155a0aa9e9e,client_434c9b5ae5,page_1,7.1,2302,0.0,0.24,0.24,True,False,False
69,content_0f9305fb9daa,client_4e07408562,page_1,4.7,2294,0.0,0.24,0.24,True,False,True
70,content_82c0aefcdbd0,client_19581e27de,page_1,6.2,2287,0.0,0.24,0.24,True,False,False
71,content_85e056f45a84,client_19581e27de,page_1,10.0,2256,0.0,0.24,0.24,True,False,True
